spp,Phylum,Class,Order,Family,Genus,Species,Past Gen,Authority,Common name,Migrants,Natural hybrid,Cryptic species complex,Endemic to Singapore,Global IUCN status,RDB2 status,RDB3 status,First known,Last known,No. of digital records and specimens,Actual generation time,Actual x 3,"% change [from 1980s to 2010s, based on 1980s]",Modelled rate of change,Modelled rate (p-value),pop <50,pop <250,pop <1000,pop <2500,pop <10000,Habitat loss,Habitat modification,Declining water quality,Sedimentation,Harmful algal blooms,Oil spills,Light pollution,Noise pollution,Warming,Acidification,Extraction,Invasive displacement,Threats still operating,Threats ceased,Habitat and ecology,sites ≤5 (named),sites >5,Area protection taken,Species recovery programme taken,Habitat restoration taken,Habitat creation taken,Maritime regulation taken,Area protection required,Species recovery programme required,Habitat restoration required,Habitat creation required,Maritime regulation required,Justifications,Remarks,References
Gardineroseris planulata,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Gardineroseris,planulata,Gardineroseris,"(Dana, 1846) ",Honeycomb coral,No,No,No,No,LC,-,DD,1995 (as Gardineroseris sp.; Loo & Chou),1995 (as Gardineroseris sp.; Loo & Chou),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive. 
Gonochoric broadcaster. ",,,,X (NParks species recovery progr),,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Pavona cactus,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,cactus,Pavona,"(Forskål, 1775)",Cactus coral,No,No,No,No,VU,-,VU,1878 (as Leptoseris venusta; Brüggemann),2020 (Kikuzawa et al),13,10,30,-96.82539683,-0.16085,0.000216,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.","RL-W, TPT-SW",,X (SIMP),,,,"X (Raffles)
X (SultanShoal)",X,,X,X,X,"Population decline significant.
Not found at many sites.

Also documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Studer 1881; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020

Goh et al 1989 (anomuran symbionts)"
Pavona clavus,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,clavus,Pavona,"Dana, 1846",Shoulderblade coral,No,No,No,No,LC,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,-100,-0.00114,0.413527,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Pavona decussata,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,decussata,Pavona,"(Dana, 1846)",Cactus coral,No,No,No,No,VU,-,NT,1881 (as Pavonia crassa; Studer),2021 (Lee et al),25,10,30,-73.04672897,-0.31285,0.000901,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, foliose, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-W, HP-E, PSL-SE, RL-W, SE-SW, SJ-NW, SS-S, TM-S, TPT-SW",X (SIMP),"X (Chou et al, subtidal seawall transplant)
X (Chou et al, subtidal seawall transplant)",,,X (Raffles),X,,,,X,"Population decline significant

Common at many sites. 

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",Also documented on reef flats (Lee et al 2021),"Studer 1881; Purchon 1956; Chuang 1961; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020; Lee et al 2021

Goh et al 1989 (anomuran symbionts); Chou et al 2017 (effectiveness of reef restoration); Chou et al 2018 (relevance of reef restoration)"
Pavona explanulata,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,explanulata,Pavona,"(Lamarck, 1816)",Peacock coral,No,No,No,No,LC,-,LC,"1985 (ZRC, 19850812)",2020 (Kikuzawa et al),11,10,30,86.24486442,0.022746,0.66881,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, foliose, encrusting. 
Gonochoric broadcaster.

Can colonise artificial structures.",,"HA-SE, HP-W, JO-S, KU-NE, LZ-SW, PSD-NW, PSD-SW, RL-W, SE-NW, SE-SW, SJ-S, TKK-W, TM-S, TPT-SW",X (SIMP),,,,X (SultanShoal),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).",,Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020
Pavona frondifera,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,frondifera,Pavona,"(Lamarck, 1816)",Leaf coral,No,No,No,No,LC,-,LC,1881 (as Pavonia frondifera; Studer),2020 (Kikuzawa et al),28,7,21,88.48552339,0.106744,0.017123,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose.
Gonochoric broadcaster.

Can colonise artificial structures.",,"CY-S, HA-W, JO-S, KU-NE, PSD-NW, PSD-SW, RL-W, SE-SW, SJ-NW, SS-N, SS-S, TM-S, TPT-SW",X (SIMP),"
X (Chou et al, subtidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).",,"Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020

Goh et al 1989 (anomuran symbionts); Chou et al 2018 (relevance of reef restoration); Loo et al 2020 (optimal temperature)"
Pavona varians,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,varians,Pavona,"(Verrill, 1864)",Fungus coral,No,No,No,No,LC,-,VU,1995 (Loo & Chou),2019 (Chow et al),4,10,30,-81.13989637,-0.01189,0.406409,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive, foliose.
Gonochoric broadcaster.","RL-W, SJ-NW",,,,,,X (Raffles),X,,X,,X,"Not found at many sites. Population decline not significant.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Loo & Chou 1995; Huang et al 2009; Wong et al 2018; Chow et al 2019
Stylocoeniella armata,Cnidaria,Anthozoa,Scleractinia,Astrocoeniidae,Stylocoeniella,armata,Stylocoeniella,"(Ehrenberg, 1834)",Thorn coral,No,No,No,No,LC,-,DD,"1985 (ZRC, 19850729)",2020 (Ng et al),6,10,30,,0.007318,0.173888,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting.
Hermaphroditic brooder.","CY-S, JO-S, TM-S, TPT-SW",,X (SIMP),,,,X (Raffles),,,,,,"DD, as % cover change only quantified for < 10 years. 
",,Iffah(LKCNHM); Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020
Coscinaraea columna,Cnidaria,Anthozoa,Scleractinia,Coscinaraeidae,Coscinaraea,columna,Coscinaraea,"(Dana, 1846)",,No,No,No,No,LC,-,LC,"1985 (ZRC, 19850722)",2020 (Ng et al),7,10,30,576.5217391,0.05797,3.28E-05,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, foliose, encrusting.
Gonochoric broadcaster.",,"HA-NE, LZ-SW, PSD-NW, PSD-SW, RL-W, SJ-S",X (SIMP),X (NParks species recovery progr),,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020
Coscinaraea exesa,Cnidaria,Anthozoa,Scleractinia,Coscinaraeidae,Coscinaraea,exesa,Coscinaraea,"(Dana, 1846)",Wrinkle coral,No,No,No,No,LC,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,-100,-0.00117,0.342631,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Cladopsammia gracilis,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Cladopsammia,gracilis,Tubastraea,"(Milne Edwards & Haime, 1848)",,No,No,No,No,-,-,DD,1995 (as Dendrophyllia gracilis; Loo & Chou),1995 (as Dendrophyllia gracilis; Loo & Chou),1,Not stated,-,-100,-0.00051,0.467971,,,,,,X,X,,X,,,,,,X,,,X,,"Azooxanthellate.
Gonochoric brooder.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Duncanopsammia peltata,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Duncanopsammia,peltata,Turbinaria,"(Esper, 1790)",Pagoda coral,No,No,No,No,VU,-,LC,1881 (as Turbinaria peltata; Studer),2021 (as Turbinaria peltata; Lee et al),23,10,30,410.2693603,0.037592,0.379742,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"HA-NE, JO-S, KU-NE, LA-S, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-E, TM-S",X (SIMP),"X (Ng et al, ex situ nursery)
X (Chou et al, subtidal seawall transplant)
X (Chou et al, subtidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).","Also documented on reef flats (Lee et al 2021).

Changed genus from Turbinaria (Rowlett et al 2020).","Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Chou & Ng 2010 (atypical morphology); Ng et al 2012 (ex situ coral nursery); Chou et al 2017 (effectiveness of reef restoration); Chou et al 2018 (relevance of reef restoration); Afiq-Rosli et al 2019 (maximising genetic diversity); Ng et al 2019b (skeletal density)"
Tubastraea aurea,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Tubastraea,aurea,Tubastraea,"(Quoy & Gaimard, 1833)",,No,No,No,No,-,-,DD,1956 (as Tubastrea aurea; Purchon),1995 (Loo & Chou),5,Not stated,-,,,,,,,,,X,X,,X,,,,,,X,,,X,,"Azooxanthellate.
Gonochoric brooder.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"As Tubastrea/Tubastraea aurea:
Purchon 1956; Chuang 1961; Chuang 1977; Chou & Wong 1986; Loo & Chou 1995
"
Tubastraea coccinea,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Tubastraea,coccinea,Tubastraea,"Lesson, 1830",Orange cup coral,No,No,No,No,-,-,DD,1881 (as Coenopsammia cocinnea; Studer),2017 (BioBlitz_SIMP2017),0,Not stated,-,,,,,,,,,X,X,,X,,,,,,X,,,X,,"Azooxanthellate.
Gonochoric brooder.",,,X (SIMP),,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Studer 1881; Purchon 1956; Chuang 1961; Chuang 1977; Chou & Wong 1986; Loo & Chou 1995

As Tubastraea coccinea:
BioBlitz_SIMP2017"
Tubastraea diaphana,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Tubastraea,diaphana,Tubastraea,"(Dana, 1846)",Black cup coral,No,No,No,No,-,-,LC,1956 (as Tubastrea diaphana; Purchon),2020 (Lim et al),4,Not stated,-,,0.001499,0.084987,,,,,,X,X,,X,,,,,,X,,,X,,"Azooxanthellate.
Gonochoric brooder.",RL-W,,X (SIMP),,,,,,,,,,"Population decline not observed and further decline not predicted.

Common but not usually documented in surveys.",,Purchon 1956; Chuang 1961; BioBlitz_SIMP2017; Lim et al 2020
Tubastraea micranthus,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Tubastraea,micranthus,Tubastraea,"(Ehrenberg, 1834)",Black turret coral,No,No,No,No,-,-,LC,1881 (as Coenopsammia equiserialis; Studer),2017 (BioBlitz_SIMP2017),7,Not stated,-,-91.54285714,-0.03948,0.037531,,,,,,X,X,,X,,,,,,X,,,X,,"Azooxanthellate.
Gonochoric brooder.","PSD-NW, TKK-W",,X (SIMP),,,,,,,,,,"Population decline significant.

Common but not usually documented in surveys.",,Studer 1881; Purchon 1956; Chuang 1961; Iffah(LKCNHM); Loo & Chou 1995; BioBlitz_SIMP2017
Turbinaria frondens,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,frondens,Turbinaria,"(Dana, 1846)",Yellow cup coral,No,No,No,No,LC,-,LC,1995 (Loo & Chou),2020 (Kikuzawa et al),5,10,30,256.8627451,-0.00822,0.58947,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose.
Gonochoric broadcaster.

Can colonise artificial structures.","TM-E, TM-S",,,,,,,,,,,,"Not found at many sites. Population decline not significant.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Loo & Chou 1995; Wong et al 2018; Chow et al 2019; Lim et al 2020; Kikuzawa et al 2020
Turbinaria irregularis,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,irregularis,Turbinaria,"Bernard, 1896",,No,No,No,No,LC,-,DD,"1985 (ZRC, 19850819)",2020 (Lim et al),3,10,30,-100,-0.01144,0.413528,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM); Loo & Chou 1995; Lim et al 2020
Turbinaria mesenterina,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,mesenterina,Turbinaria,"(Lamarck, 1816)",Vase coral,No,No,No,No,VU,-,LC,2009 (Huang et al),2021 (Lee et al),13,10,30,,0.158891,8.70E-05,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"CY-S, HA-SE, HA-W, HP-E, JO-S, KU-NE, LA-S, LZ-E, PSD-NW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),"X (Chou et al, subtidal seawall transplant)

X (Chou et al, subtidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Chou et al 2017 (effectiveness of reef restoration); Chou et al 2018 (relevance of reef restoration); Quek & Huang 2019 (phylotranscriptomic analysis); Loo et al 2020 (optimal temperature); Quek et al 2020 (baits)"
Turbinaria radicalis,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,radicalis,Turbinaria,"Bernard, 1896",,No,No,No,No,NT,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,-100,-0.00351,0.076727,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Turbinaria reniformis,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,reniformis,Turbinaria,"Bernard, 1896",Yellow scroll coral,No,No,No,No,VU,-,NT,1995 (Loo & Chou),2020 (Kikuzawa et al),5,10,30,-43.69189907,0.11405,0.09152,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-W, KU-NE, LZ-E, PSD-NW, RL-W, SE-NW, SE-SW, TKK-W, TM-E, TM-S",X (SIMP),,,,,X,,,,X,"Not found at many sites. Population decline not documented.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Loo & Chou 1995; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Kikuzawa et al 2020
Turbinaria stellulata,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,stellulata,Turbinaria,"(Lamarck, 1816)",,No,No,No,No,VU,-,DD,"1987 (ZRC.1987.2174, Huang et al)",2020 (Kikuzawa et al),5,10,30,,0.002446,0.913972,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.","KU-NE, SS-N, SS-S",,,"
X (Chou et al, subtidal seawall transplant)",,,X (SultanShoal),,,,,,"DD, as % cover change only quantified for < 10 years. 
",,"Huang et al 2009(ZRC.1987.2174); Wong et al 2018; Ng et al 2020; Kikuzawa et al 2020

Chou et al 2018 (relevance of reef restoration)"
Diploastrea heliopora,Cnidaria,Anthozoa,Scleractinia,Diploastreidae,Diploastrea,heliopora,Diploastrea,"
(Lamarck, 1816)",Double-star coral,No,No,No,No,NT,-,LC,1956 (Purchon),2021 (Lee et al),32,20,60,82.2278588,0.542221,0.000431,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"CY-S, HA-W, HP-E, HP-W, JO-S, KU-NE, LA-S, LZ-E, PSD-NW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SS-S, TKK-W, TPT-SW",X (SIMP),"X (Bongiorni et al, in situ nursery)
X (Ng et al, ex situ nursery & intertidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Purchon 1956; Chuang 1961; Chou & Teo 1983; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Todd et al. 2013 (colour changes); Huang et al 2009b (pervasive paraphyly); Todd et al 2002a, 2002b (plastic corals); Todd et al 2004a, 2004b, 2004c (flesh or bone; aquarium expt; genotype x envir); Lam et al 2006 (ITS); Bongiorni et al 2011 (in situ coral nursery); Lui et al 2012 (sediment rejection); Guest et al 2012a (sexual systems); Ng et al 2015 (enhancing seawall biodiversity); Tanzil et al 2016 (Symbiodinium diversity); Ng et al 2019b (skeletal density); Quek & Huang 2019 (phylotranscriptomic analysis); Loo et al 2020 (optimal temperature); Quek et al 2020 (baits)"
Euphyllia glabrescens,Cnidaria,Anthozoa,Scleractinia,Euphylliidae,Euphyllia,glabrescens,Euphyllia,"(Chamisso & Eysenhardt, 1821)",Torch anchor coral,No,No,No,No,NT,-,DD,1881 (as Euphyllia turgida; Studer),2020 (Lim et al),7,10,30,-100,-0.00966,0.045809,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive.
Hermaphroditic brooder.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Purchon 1956; Chuang 1961; Iffah(LKCNHM); Loo & Chou 1995; Lim et al 2020
Fimbriaphyllia ancora,Cnidaria,Anthozoa,Scleractinia,Euphylliidae,Fimbriaphyllia,ancora,Euphyllia,"(Veron & Pichon, 1980)",Brain anchor coral,No,No,No,No,VU,-,LC,1995 (as Euphyllia ancora; Loo & Chou),2020 (Lim et al),10,10,30,-35.29626253,-0.01084,0.708081,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Gonochoric broadcaster.",,"HA-W, JO-S, KU-NE, LZ-E, PSD-SW, PSL-SE, RL-W, SE-SW, TKK-W, TPT-SW",X (SIMP),,,,X (Raffles),,,,,,"Common at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Loo & Chou 1995; Guest et al 2005b; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020

Quek & Huang 2019 (phylotranscriptomic analysis); Quek et al 2020 (baits)"
Fimbriaphyllia divisa,Cnidaria,Anthozoa,Scleractinia,Euphylliidae,Fimbriaphyllia,divisa,Euphyllia,"(Veron & Pichon, 1980)",Frogspawn coral,No,No,No,No,NT,-,VU,"1986 (ZRC, 19860506)",2019 (Chow et al),8,10,30,-67.93138244,-0.06807,0.051408,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.","HA-SE, KU-NE, SJ-S",,X (SIMP),,,,X (Raffles),X,,X,,X,"Not found at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019
Fimbriaphyllia paraancora,Cnidaria,Anthozoa,Scleractinia,Euphylliidae,Fimbriaphyllia,paraancora,Euphyllia,"(Veron, 1990)",Branching anchor coral,No,No,No,No,VU,-,DD,2020 (Lim et al),2020 (Lim et al),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"As Euphyllia paraancora:
Lim et al 2020"
Fimbriaphyllia paradivisa,Cnidaria,Anthozoa,Scleractinia,Euphylliidae,Fimbriaphyllia,paradivisa,Euphyllia,"(Veron, 1990)",Frogspawn coral,No,No,No,No,VU,-,DD,2020 (Ng et al),2020 (Lim et al),2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"As Euphyllia paradivisa:
Ng et al 2020; Lim et al 2020"
Galaxea astreata,Cnidaria,Anthozoa,Scleractinia,Euphylliidae,Galaxea,astreata,Galaxea,"(Lamarck, 1816)",Galaxy coral,No,No,No,No,VU,-,LC,1881 (as Galaxea clavus; Studer),2020 (Lim et al),12,8,24,0,0.076157,0.382847,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting. 
Gonochoric broadcaster. ",,"HA-NE, HA-W, HP-E, HP-W, KU-NE, LZ-E, PSD-NW, RL-W, SE-SW, SJ-S, SS-S, TKK-W, TM-S, TPT-SW",X (SIMP),,,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Studer 1881; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Lim et al 2020

Quek & Huang 2019 (phylotranscriptomic analysis); Quek et al 2020 (baits)"
Galaxea fascicularis,Cnidaria,Anthozoa,Scleractinia,Euphylliidae,Galaxea,fascicularis,Galaxea,"(Linnaeus, 1767)",Galaxy coral,No,No,No,No,NT,-,LC,1881 (Studer),2020 (Kikuzawa et al),17,10,30,11.92295934,0.174408,0.080487,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting. 
Gonochoric broadcaster. 

Can colonise artificial structures.",,"CY-S, HA-NE, HA-SE, HA-W, HP-E, JO-S, KU-NE, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SS-N, SS-S, TPT-SW",X (SIMP),"X (Ng et al, ex situ nursery)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020

Ng et al 2012 (ex situ coral nursery); Junjie et al 2014 (sediments on coral energetics)"
Ctenactis albitentaculata,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Ctenactis,albitentaculata,Fungia,"Hoeksema, 1989",Feather mushroom coral,No,No,No,No,NT,-,DD,1860s (record consolidated by Hoeksema & Koh 2009),1986-91 (record consolidated by Hoeksema & Koh 2009),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Hoeksema & Koh 2009
Ctenactis crassa,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Ctenactis,crassa,Fungia,"(Dana, 1846)",Feather mushroom coral,No,No,No,No,LC,-,NT,1986-91 (record consolidated by Hoeksema & Koh 2009),2020 (Ng et al),3,10,30,-56.16438356,-0.00034,0.943537,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.","KU-NE, RL-W",,,,,,X (SultanShoal),X,,,,X,"Not found at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Hoeksema & Koh 2009; Loo & Chou 1995; Ng et al 2020
Ctenactis echinata,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Ctenactis,echinata,Fungia,"(Pallas, 1766)",Feather mushroom coral,No,No,No,No,LC,-,LC,1860s (record consolidated by Hoeksema & Koh 2009),2020 (Prasetia et al),31,10,30,-1.082621083,0.032729,0.075563,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,"CY-S, HA-W, HP-E, HP-W, JO-S, KU-NE, LA-S, PSD-NW, PSL-SE, RL-W, SE-NW, SE-SW, SS-N, TM-E, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983; Hoeksema & Koh 2009; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Prasetia et al 2020
