"","spp","grow","n.grow","sd.grow","skel","n.skel","sd.skel","calc","n.calc","sd.calc","corwidth","n.corwidth","cmd","n.cmd","col","repmode","sex","symb","branching","encrusting","laminar","massive","submassive","lifehist","iucn"
"149","Acropora bushyensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,25,2,"colonial","spawner","hermaphrodite",NA,0,0,0,0,1,NA,"LC"
"150","Acropora carduus",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,NA,NA,"colonial","spawner",NA,NA,1,0,0,0,0,NA,"NT"
"151","Acropora caroliniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,50,3,"colonial",NA,NA,NA,0,0,1,0,0,NA,"VU"
"152","Acropora chesterfieldensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,1,NA,"LC"
"153","Acropora clathrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,NA,"LC"
"154","Acropora dendrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,100,3,"colonial","spawner",NA,NA,1,0,0,0,0,NA,"VU"
"155","Acropora derawanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,100,2,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"156","Acropora desalwii",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,30,2,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"157","Acropora donei",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,300,3,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"158","Acropora downingi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"LC"
"159","Acropora echinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,150,2,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"160","Acropora elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"VU"
"161","Acropora florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,1500,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"162","Acropora globiceps",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,2,NA,NA,"colonial",NA,"hermaphrodite",NA,0,0,0,0,1,NA,"VU"
"163","Acropora grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,2,700,4,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","LC"
"164","Acropora halmaherae",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,"colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD"
"165","Acropora hoeksemai",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,400,3,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"166","Acropora indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,100,2,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"167","Acropora intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,500,1,"colonial","spawner","hermaphrodite","no",1,0,0,0,0,"competitive","LC"
"168","Acropora jacquelineae",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2,100,3,"colonial",NA,NA,NA,0,0,1,0,0,NA,"VU"
"169","Acropora japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,"colonial","spawner",NA,NA,0,0,1,0,0,NA,"DD"
"170","Acropora kimbeensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"171","Acropora kirstyae",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"172","Acropora kosurini",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"173","Acropora latistella",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"LC"
"174","Acropora listeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,50,2,"colonial","spawner","hermaphrodite",NA,2,0,0,0,0,NA,"VU"
"175","Acropora loisetteae",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"176","Acropora lokani",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,30,1,"colonial",NA,NA,NA,2,0,0,0,0,NA,"VU"
"177","Acropora loripes",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,50,2,"colonial","spawner","hermaphrodite",NA,2,0,1,0,0,"competitive","NT"
"178","Acropora loveli",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"179","Acropora lutkeni",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,600,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"180","Acropora microclados",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,100,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","VU"
"181","Acropora microphthalma",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,200,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","LC"
"182","Acropora millepora",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"183","Acropora monticulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,300,1,"colonial","spawner","hermaphrodite",NA,0,0,0,0,1,NA,"NT"
"184","Acropora mossambica",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,NA,NA,"colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Acropora multiacuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"186","Acropora nana",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,15,2,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"NT"
"187","Acropora palmerae",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,200,5,"colonial","spawner","hermaphrodite",NA,1,1,0,0,0,NA,"VU"
"188","Acropora paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,200,5,"colonial",NA,NA,NA,0,0,1,0,0,NA,"VU"
"189","Acropora papillare",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"190","Acropora pichoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,100,1,"colonial",NA,NA,NA,0,0,1,0,0,NA,"NT"
"191","Acropora plumosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"VU"
"192","Acropora polystoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,80,2,"colonial","spawner","hermaphrodite",NA,2,0,0,0,0,"competitive","VU"
"193","Acropora pruinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,2,100,1,"colonial",NA,NA,NA,1,0,0,0,0,NA,"DD"
"194","Acropora retusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,0,1,NA,"VU"
"195","Acropora ridzwani",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD"
"196","Acropora rongelapensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,2,NA,NA,"colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD"
"197","Acropora roseni",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2,200,1,"colonial",NA,NA,NA,1,0,0,0,0,NA,"EN"
"198","Acropora rudis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,100,1,"colonial",NA,NA,NA,1,0,0,0,0,NA,"EN"
"199","Acropora russelli",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"200","Acropora samoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2,100,1,"colonial","spawner","hermaphrodite",NA,2,0,0,0,1,"competitive","LC"
"201","Acropora sarmentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,30,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","LC"
"202","Acropora secale",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,100,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"203","Acropora selago",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,75,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"NT"
"204","Acropora simplex",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,100,1,"colonial",NA,NA,NA,0,0,1,0,0,NA,"VU"
"205","Acropora spathulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,NA,NA,"colonial","spawner","hermaphrodite",NA,NA,NA,NA,NA,NA,NA,"LC"
"206","Acropora squarrosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"LC"
"207","Acropora stoddarti",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,200,1,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,NA,"DD"
"208","Acropora striata",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"209","Acropora subglabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,NA,NA,"colonial",NA,"hermaphrodite",NA,1,0,0,0,0,NA,"LC"
"210","Acropora subulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,300,4,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,"competitive","LC"
"211","Acropora suharsonoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"EN"
"212","Acropora sukarnoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,150,2,"colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD"
"213","Acropora tanegashimensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"DD"
"214","Acropora tenella",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"VU"
"215","Acropora tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"216","Acropora torihalimeda",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"DD"
"217","Acropora tortuosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"LC"
"218","Acropora turaki",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,200,2,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"219","Acropora variolosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"LC"
"220","Acropora vaughani",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"221","Acropora verweyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,"competitive","VU"
"222","Acropora walindii",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,2,100,1,"colonial",NA,NA,NA,2,0,0,0,0,NA,"VU"
"223","Acropora willisae",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,100,2,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"224","Agaricia grahamae",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,0,NA,"LC"
"225","Agaricia humilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,2,12,1,"colonial","brooder","gonochore","yes",0,1,0,0,1,"weedy","LC"
"226","Agaricia tenuifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,2,NA,NA,"colonial","brooder",NA,NA,0,0,1,0,0,"weedy","NT"
"227","Alveopora allingi",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,2,NA,"VU"
"228","Alveopora catalai",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2,1000,3,"colonial",NA,NA,NA,1,0,0,0,0,NA,"NT"
"229","Alveopora daedalea",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,2,NA,NA,"colonial","brooder","hermaphrodite","yes",0,1,1,0,1,NA,"VU"
"230","Alveopora excelsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,2,200,1,"colonial",NA,NA,NA,0,0,0,0,1,NA,"EN"
"231","Alveopora fenestrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2,NA,NA,"colonial","spawner",NA,NA,0,0,0,1,1,"stress-tolerant","VU"
"232","Alveopora gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,0,1,NA,"VU"
"233","Alveopora japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,4,1,"colonial","brooder","hermaphrodite","yes",0,1,0,1,0,NA,"VU"
"234","Alveopora marionensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"VU"
"235","Alveopora minuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,10,1,"colonial",NA,NA,NA,1,0,0,0,1,NA,"EN"
"236","Alveopora ocellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"DD"
"237","Alveopora spongiosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,200,2,"colonial",NA,NA,NA,0,1,0,0,2,NA,"NT"
"238","Alveopora tizardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,2,NA,NA,"colonial","spawner",NA,NA,0,1,0,0,1,NA,"LC"
"239","Alveopora verrilliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,1,NA,"VU"
"240","Alveopora viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,2,NA,"NT"
"241","Anacropora forbesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"LC"
"242","Anacropora matthai",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"243","Anacropora pillai",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"DD"
"244","Anacropora puertogalerae",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"245","Anacropora reticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"246","Anacropora spinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"EN"
"247","Anacropora spumosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"DD"
"248","Anomastraea irregularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"VU"
"249","Astrangia atrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Astrea annuligera",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"NT"
"251","Astrea devantieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,150,2,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"252","Astreopora cucullata",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"VU"
"253","Astreopora expansa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"NT"
"254","Astreopora explanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Astreopora gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"LC"
"256","Astreopora incrustans",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,100,1,"colonial",NA,NA,NA,0,1,1,0,1,NA,"VU"
"257","Astreopora listeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,NA,"LC"
"258","Astreopora macrostoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"NT"
"259","Astreopora moretonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,1,NA,"VU"
"260","Astreopora ocellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"LC"
"261","Astreopora randalli",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2,NA,NA,"colonial",NA,NA,NA,0,1,1,1,0,NA,"LC"
"262","Astreopora scabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"263","Astreopora suggesta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"264","Australogyra zelli",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,2,200,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"265","Australophyllia wilsoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,23.75,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,1,NA,"LC"
"266","Bernardpora stutchburyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,NA,"colonial",NA,"gonochore",NA,0,1,0,0,1,NA,"LC"
"267","Blastomussa merleti",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC"
"268","Blastomussa omanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"EN"
"269","Blastomussa wellsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.45,2,NA,NA,"colonial","spawner",NA,NA,0,0,0,1,0,NA,"NT"
"270","Boninastrea boninensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"DD"
"271","Cantharellus doederleini",NA,NA,NA,NA,NA,NA,NA,NA,NA,52.25,2,5,1,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"272","Cantharellus jebbi",NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1,20,1,"both",NA,NA,NA,0,1,0,0,0,NA,"LC"
"273","Cantharellus noumeae",NA,NA,NA,NA,NA,NA,NA,NA,NA,200,1,20,1,"both",NA,NA,NA,0,1,0,0,0,NA,"EN"
"274","Catalaphyllia jardinei",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,2,100,1,"colonial","spawner",NA,NA,0,0,0,1,0,NA,"VU"
"275","Caulastraea connata",NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"276","Caulastraea curvata",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.85,2,100,1,"colonial",NA,NA,NA,1,0,0,1,0,NA,"VU"
"277","Caulastraea echinulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"278","Caulastraea furcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,500,1,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","LC"
"279","Caulastraea tumida",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,100,1,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"280","Cladocora arbuscula",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,2,NA,NA,"colonial",NA,"gonochore",NA,1,0,0,0,0,NA,"LC"
"281","Coelastrea palauensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,2,20,1,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,NA,"NT"
"282","Coeloseris mayeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"283","Coscinaraea columna",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,2,NA,NA,"colonial","spawner","gonochore",NA,0,1,0,1,0,NA,"LC"
"284","Coscinaraea crassa",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"NT"
"285","Coscinaraea exesa",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"LC"
"286","Coscinaraea hahazimaensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"VU"
"287","Coscinaraea marshae",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15,2,NA,NA,"colonial","spawner",NA,NA,0,1,0,0,0,NA,"LC"
"288","Coscinaraea mcneilli",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"LC"
"289","Coscinaraea monile",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"LC"
"290","Ctenactis albitentaculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,260,1,NA,NA,"solitary",NA,NA,NA,0,0,0,1,0,NA,"NT"
"291","Ctenactis crassa",NA,NA,NA,NA,NA,NA,NA,NA,NA,236,1,NA,NA,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"292","Ctenactis echinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,284,1,NA,NA,"solitary","spawner","gonochore",NA,0,0,0,1,0,NA,"LC"
"293","Cycloseris costulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,73,2,8,3,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"294","Cycloseris curvata",NA,NA,NA,NA,NA,NA,NA,NA,NA,78,2,9,1,"solitary",NA,NA,NA,0,0,0,1,0,NA,"VU"
"295","Cycloseris cyclolites",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,2,40,3,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"296","Cycloseris distorta",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,4,3,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"297","Cycloseris explanulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,NA,NA,"solitary",NA,NA,NA,0,1,1,1,0,NA,"LC"
"298","Cycloseris fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,7,3,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"299","Cycloseris hexagonalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.55,2,9,1,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"300","Cycloseris mokai",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,2,10,3,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"301","Cycloseris sinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,54.05,2,NA,NA,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"302","Cycloseris somervillei",NA,NA,NA,NA,NA,NA,NA,NA,NA,119.05,2,13,1,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"303","Cycloseris tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,2,NA,NA,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"304","Cycloseris vaughani",NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,1,NA,NA,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"305","Cycloseris wellsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2,NA,NA,"solitary",NA,NA,NA,0,0,1,1,0,NA,"LC"
"306","Cynarina lacrymalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,85,1,NA,NA,"solitary","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"NT"
"307","Cyphastrea agassizi",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"308","Cyphastrea chalcidicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,100,1,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","LC"
"309","Cyphastrea decadia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"LC"
"310","Cyphastrea hexasepta",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"311","Cyphastrea japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"LC"
